emotion,
angry,0
angry,1
fearful,2
angry,3
neutral,4
fearful,5
angry,6
disgusted,7
disgusted,8
fearful,9
angry,10
neutral,11
neutral,12
neutral,13
disgusted,14
surprised,15
disgusted,16
fearful,17
neutral,18
angry,19
angry,20
fearful,21
angry,22
angry,23
disgusted,24
disgusted,25
surprised,26
angry,27
disgusted,28
surprised,29
disgusted,30
neutral,31
disgusted,32
fearful,33
disgusted,34
neutral,35
neutral,36
neutral,37
angry,38
surprised,39
angry,40
disgusted,41
angry,42
angry,43
neutral,44
fearful,45
disgusted,46
neutral,47
fearful,48
fearful,49
fearful,50
surprised,51
surprised,52
neutral,53
angry,54
surprised,55
angry,56
disgusted,57
angry,58
fearful,59
neutral,60
surprised,61
disgusted,62
angry,63
disgusted,64
angry,65
angry,66
disgusted,67
angry,68
surprised,69
angry,70
fearful,71
angry,72
fearful,73
angry,74
neutral,75
angry,76
angry,77
surprised,78
angry,79
disgusted,80
surprised,81
disgusted,82
neutral,83
fearful,84
fearful,85
angry,86
angry,87
surprised,88
angry,89
angry,90
angry,91
neutral,92
angry,93
neutral,94
fearful,95
fearful,96
disgusted,97
angry,98
disgusted,99
disgusted,100
fearful,101
neutral,102
disgusted,103
angry,104
disgusted,105
fearful,106
angry,107
fearful,108
disgusted,109
fearful,110
disgusted,111
neutral,112
neutral,113
disgusted,114
angry,115
angry,116
angry,117
disgusted,118
disgusted,119
angry,120
fearful,121
angry,122
angry,123
disgusted,124
disgusted,125
angry,126
angry,127
surprised,128
fearful,129
angry,130
fearful,131
surprised,132
disgusted,133
angry,134
neutral,135
neutral,136
fearful,137
fearful,138
disgusted,139
fearful,140
disgusted,141
disgusted,142
disgusted,143
disgusted,144
disgusted,145
angry,146
fearful,147
fearful,148
angry,149
angry,150
fearful,151
neutral,152
disgusted,153
angry,154
surprised,155
disgusted,156
angry,157
fearful,158
angry,159
surprised,160
fearful,161
disgusted,162
angry,163
neutral,164
disgusted,165
angry,166
disgusted,167
neutral,168
angry,169
angry,170
angry,171
angry,172
fearful,173
neutral,174
surprised,175
surprised,176
neutral,177
surprised,178
fearful,179
disgusted,180
fearful,181
disgusted,182
angry,183
angry,184
fearful,185
angry,186
disgusted,187
angry,188
fearful,189
fearful,190
surprised,191
disgusted,192
surprised,193
surprised,194
angry,195
disgusted,196
angry,197
neutral,198
surprised,199
fearful,200
neutral,201
angry,202
angry,203
angry,204
surprised,205
neutral,206
disgusted,207
surprised,208
surprised,209
disgusted,210
fearful,211
fearful,212
disgusted,213
disgusted,214
disgusted,215
disgusted,216
neutral,217
disgusted,218
neutral,219
disgusted,220
angry,221
neutral,222
disgusted,223
fearful,224
angry,225
neutral,226
surprised,227
neutral,228
angry,229
surprised,230
angry,231
disgusted,232
angry,233
disgusted,234
angry,235
angry,236
surprised,237
angry,238
disgusted,239
disgusted,240
angry,241
angry,242
neutral,243
fearful,244
angry,245
neutral,246
disgusted,247
angry,248
angry,249
neutral,250
angry,251
surprised,252
neutral,253
disgusted,254
fearful,255
surprised,256
surprised,257
fearful,258
angry,259
fearful,260
neutral,261
neutral,262
angry,263
fearful,264
disgusted,265
angry,266
fearful,267
neutral,268
surprised,269
fearful,270
fearful,271
neutral,272
neutral,273
neutral,274
fearful,275
surprised,276
disgusted,277
angry,278
surprised,279
angry,280
angry,281
disgusted,282
disgusted,283
disgusted,284
disgusted,285
neutral,286
disgusted,287
fearful,288
angry,289
neutral,290
disgusted,291
fearful,292
angry,293
angry,294
angry,295
disgusted,296
fearful,297
angry,298
sad,299
fearful,300
fearful,301
surprised,302
disgusted,303
surprised,304
angry,305
angry,306
angry,307
fearful,308
disgusted,309
angry,310
neutral,311
angry,312
fearful,313
fearful,314
disgusted,315
surprised,316
angry,317
angry,318
surprised,319
neutral,320
angry,321
surprised,322
angry,323
disgusted,324
disgusted,325
disgusted,326
fearful,327
surprised,328
